id,lastname,firstname,state,chamber,icpsr,bioname
06692,KNOPF,PHILIP,IL,House,5340,"KNOPF, Philip"
07095,MCGUIRE,BIRD,OK,House,6266,"McGUIRE, Bird Segle"
06436,FITZPATRICK,MORGAN,TN,House,3194,"FITZPATRICK, Morgan Cassius"
06457,KYLE,THOMAS,OH,House,5388,"KYLE, Thomas Barton"
08173,LONGWORTH,NICHOLAS,OH,House,5770,"LONGWORTH, Nicholas"
06472,OTIS,NORTON,NY,House,7111,"OTIS, Norton Prentiss"
06563,HUNT,JOHN,MO,House,4745,"HUNT, John Thomas"
06867,WALLACE,ROBERT,AR,House,9768,"WALLACE, Robert Minor"
07073,KNOWLAND,JOSEPH,CA,House,5342,"KNOWLAND, Joseph Russell"
06427,DEGETAU,FEDERICO,PR,NA,NA,NA
06881,AMES,BUTLER,MA,House,153,"AMES, Butler"
07592,KALANIANAOLE,JONAH,HI,NA,NA,NA
07790,HEFLIN,JAMES,AL,House,4280,"HEFLIN, James Thomas"
06807,KELIHER,JOHN,MA,House,5133,"KELIHER, John Austin"
06555,HEARST,WILLIAM,NY,House,4267,"HEARST, William Randolph"
06465,MAHONEY,WILLIAM,IL,House,5928,"MAHONEY, William Frank"
06952,MCCREARY,GEORGE,PA,House,6193,"McCREARY, George Deardorff"
06694,LAMAR,WILLIAM,FL,House,5417,"LAMAR, William Bailey"
07690,DAVIS,CHARLES,MN,House,2375,"DAVIS, Charles Russell"
06552,GILLETT,JAMES,CA,House,3600,"GILLETT, James Norris"
06510,ADAMS,HENRY,WI,House,30,"ADAMS, Henry Cullen"
06610,SULLIVAN,JOHN,MA,House,9070,"SULLIVAN, John Andrew"
06693,LAMAR,JAMES,MO,House,5414,"LAMAR, James Robert"
06685,HILL,WILSON,MS,House,4430,"HILL, Wilson Shedric"
06451,HOWELL,GEORGE,PA,House,4649,"HOWELL, George"
06755,COOPER,ALLEN,PA,House,2040,"COOPER, Allen Foster"
07197,HOWELL,JOSEPH,UT,House,4652,"HOWELL, Joseph"
06957,MOON,REUBEN,PA,House,6620,"MOON, Reuben Osborne"
07516,WILSON,WILLIAM,IL,House,10263,"WILSON, William Warfield"
06872,WILEY,WILLIAM,NJ,House,10115,"WILEY, William Halsted"
06543,FLACK,WILLIAM,NY,House,3198,"FLACK, William Henry"
07206,LAFEAN,DANIEL,PA,House,5396,"LAFEAN, Daniel Franklin"
07190,GRONNA,ASLE,ND,House,3849,"GRONNA, Asle Jorgenson"
06623,WHARTON,CHARLES,IL,House,9977,"WHARTON, Charles Stuart"
06954,MCKINNEY,JAMES,IL,House,6314,"McKINNEY, James"
07891,MADDEN,MARTIN,IL,House,5899,"MADDEN, Martin Barnaby"
07875,GARRETT,FINIS,TN,House,3490,"GARRETT, Finis James"
07508,WATKINS,JOHN,LA,House,9867,"WATKINS, John Thomas"
06703,MCGAVIN,CHARLES,IL,House,6248,"McGAVIN, Charles"
06621,WEBBER,AMOS,OH,House,9900,"WEBBER, Amos Richard"
07149,WEEKS,JOHN,MA,House,9911,"WEEKS, John Wingate"
06769,EDWARDS,DON,KY,House,2862,"EDWARDS, Don Calvin"
06825,MCKINLAY,DUNCAN,CA,House,6309,"McKINLAY, Duncan E."
06614,TYNDALL,WILLIAM,MO,House,9543,"TYNDALL, William Thomas"
06713,POLLARD,ERNEST,NE,House,7511,"POLLARD, Ernest Mark"
07327,HOUSTON,WILLIAM,TN,House,4617,"HOUSTON, William Cannon"
07043,FLOYD,JOHN,AR,House,3235,"FLOYD, John Charles"
06726,WALDO,GEORGE,NY,House,9727,"WALDO, George Ernest"
06833,MURPHY,ARTHUR,MO,House,6804,"MURPHY, Arthur Phillips"
06521,BROOCKS,MOSES,TX,House,1068,"BROOCKS, Moses Lycurgus"
06598,SAMUEL,EDMUND,PA,House,8191,"SAMUEL, Edmund William"
06870,WEISSE,CHARLES,WI,House,9922,"WEISSE, Charles Herman"
06567,KLEPPER,FRANK,MO,House,5319,"KLEPPER, Frank B."
06740,BENNETT,JOSEPH,KY,House,640,"BENNETT, Joseph Bentley"
06651,CHANEY,JOHN,IN,House,1644,"CHANEY, John Crawford"
06750,CHAPMAN,PLEASANT,IL,House,1657,"CHAPMAN, Pleasant Thomas"
07956,ELLIS,EDGAR,MO,House,2922,"ELLIS, Edgar Clarence"
06911,ELLERBE,JAMES,SC,House,2902,"ELLERBE, James Edwin"
07230,PAGE,ROBERT,NC,House,7160,"PAGE, Robert Newton"
07641,RHODES,MARION,MO,House,7846,"RHODES, Marion Edwards"
06595,RIVES,ZENO,IL,House,7930,"RIVES, Zeno John"
06539,DICKSON,FRANK,IL,House,2579,"DICKSON, Frank Stoddard"
